;meta[language=tr]
;    id    |key(hex)|                  key(str)                   |        text
;*
;*   Translated By: Adnan008
;*                                                _  _ ____ _ _  _    _  _ ____ _  _ _  _
;*                                                |\/| |__| | |\ |    |\/| |___ |\ | |  |
;*                                                |  | |  | | | \|    |  | |___ | \| |__|
;*                                                =======================================
;*
;----id----|key(hex)|----------------- key(str) ------------------|-------- text ---------------------------------------------
 2111509000|        |                 panel_Mods                  |Modlar
 2111509001|        |             panel_gmConfig_Menu             |Tanri Modu Menusu
 2111509002|        |        preset_value_gmConfig_Default        |Varsayilan
 2111509003|        |        option_gmConfig_resetSettings        |Butun Ayarlari Sifirla
 2111509004|        |             gmConfig_resetting              |Tanri Modu<br>-------------<br>Butun Ayarlar Sifirlaniyor
 2111509005|        |             gmConfig_unlimited              |Tanri Modu<br>-------------<br>Simdi <font color='#ff0000'>SINIRSIZ</font> Ok, Bomba, Boya, Gelistirme, Para, Yag Kullanimi, Iksir, ve Iksir Suresine Sahipsin.
;2111509006|        |                                             |
;2111509007|        |                                             |
;2111509008|        |                                             |
;2111509009|        |                                             |
 2111509010|        |         option_gmConfig_IgnoreThis          |Bu Ayari Bosver. Sadece Menude Mesaj Gostermek Icin Var.
 2111509011|        |            panel_gmConfig_Notice            |Lutfen Ayari Degistirmeden Once Oyun Yukleyin/Baslatin.
 2111509012|        |               gmConfig_Notice               |Lutfen Ayari Degistirmeden Once Oyun Yukleyin/Baslatin.
 2111509013|        |            panel_gmConfig_Blank             |<br>
 2111509014|        |               gmConfig_Blank                |<br>
;2111509015|________|_____________________________________________|___________________________________________________________
;2111509016|                                   ____ ___ ____ ___ ____    _  _ ____ _  _ _  _
;2111509017|                                   [__   |  |__|  |  [__     |\/| |___ |\ | |  |
;2111509018|                                   ___]  |  |  |  |  ___]    |  | |___ | \| |__|
;2111509019|                                   =============================================
;2111509020|
;----id----|key(hex)|----------------- key(str) ------------------|-------- text ---------------------------------------------
 2111509022|        |            panel_gmConfig_Stats             |Karakter Statlari
